"rowid" "x" 
"1" 89.6634902383748
"2" 120.181681891279
"3" 83.1724202941497
"4" 71.2213844593226
"5" 114.098784344236
"6" 109.67948447469
"7" 67.4510371104727
"8" 98.5739243009715
"9" 75.2320984630616
"10" 106.831216799966
"11" 129.435858781868
"12" 87.6419776196304
"13" 109.996685111595
"14" 90.724741985984
"15" 107.400137274594
"16" 112.535734147843
"17" 95.2183775304844
"18" 136.418766210454
"19" 93.1705442861341
"20" 85.4651851150089
"21" 92.4285409269214
"22" 124.411428364261
"23" 106.309871341168
"24" 72.2868677669813
"25" 105.102846890416
"26" 103.226787394025
"27" 91.3330498596263
"28" 90.192802331646
"29" 100.680520680803
"30" 90.0686970317285
"31" 106.292805459313
